dam_code,dam_name,station_code,station_name,basin,latitude,longitude,observation_start_year,distance_km,rank_no,mapping_type,note
1003110,충주,1004690,충주시(향산리),한강,36.92500000,127.92444444,1985.0,10.40,1,DISTANCE_OFFICIAL,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1003110,충주,1003655,제천시(청풍교),한강,37.00250000,128.18000000,1992.0,17.32,2,DISTANCE_OFFICIAL,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1003110,충주,1002695,영월군(북쌍리),한강,37.19416667,128.40916667,1985.0,43.10,3,DISTANCE_OFFICIAL,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1003110,충주,9000251,가대교,,,,,,101,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1003110,충주,9000252,단양군(상진대교),,,,,,102,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1003110,충주,1003630,단양군(오사리),한강,37.09861111,128.51083333,1985.0,,103,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1003110,충주,9000253,단양군(우화교),,,,,,104,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1003110,충주,9000182,무사교,,,,,,105,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1003110,충주,1001675,영월2,,,,,,106,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1003110,충주,1003626,영월군(삼옥교),,,,,,108,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1003110,충주,1002655,영월군(판운교),한강,37.29666667,128.34388889,1992.0,,109,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1003110,충주,8000081,우안(충주댐),,,,,,110,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1003110,충주,8000080,월악,,,,,,111,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
