dam_code,dam_name,latitude,longitude,grid_x,grid_y,obsrdt,inflowqy,lowlevel,rf,rsvwtqy,rsvwtrt,totdcwtrqy,pred_base_time,pred_target_time,predicted_inflow_3h,predicted_discharge_3h,discharge_change_level,release_review,confidence_level,model_version
1003110,충주,37.005,127.985,77,115,2026-06-02 16:00:00,0.0,124.73,0.0,,39.9,0.43,2026-06-02 16:00:00,2026-06-02 19:00:00,,,보류,예측 보류,보류,ml-v0.1
1006110,횡성,37.54,128.05,78,126,2026-06-02 16:00:00,1.785,172.27,0.5,47.479,54.6,1.785,2026-06-02 16:00:00,2026-06-02 19:00:00,2.1620240342449697,1.974648928571429,낮음,현재 방류 유지,높음,ml-v0.1
1012110,소양강,37.945,127.815,74,135,2026-06-02 16:00:00,4.713,177.86,0.0,,54.7,0.88,2026-06-02 16:00:00,2026-06-02 19:00:00,,,보류,예측 보류,보류,ml-v0.1
2001110,안동,36.584,128.77,91,106,2026-06-02 16:00:00,0.0,143.56,0.0,512.612,41.1,0.0,2026-06-02 16:00:00,2026-06-02 19:00:00,18.998633017167126,39.31966999503968,낮음,주의 관찰,높음,ml-v0.1
2002110,임하,36.54,128.88,93,105,2026-06-02 16:00:00,4.941,149.18,0.0,272.112,45.7,4.497,2026-06-02 16:00:00,2026-06-02 19:00:00,4.704593081443471,16.03432020833333,보통,주의 관찰,높음,ml-v0.1
2002111,성덕,36.3,129.0,96,100,2026-06-02 16:00:00,0.867,348.83,0.0,10.384,37.2,0.867,2026-06-02 16:00:00,2026-06-02 19:00:00,0.5245556268233853,0.792620505952381,낮음,현재 방류 유지,높음,ml-v0.1
2004101,영주,36.8,128.68,90,111,2026-06-02 16:00:00,1.223,143.06,0.0,39.352,21.7,1.556,2026-06-02 16:00:00,2026-06-02 19:00:00,2.345898745714611,3.558620555555556,낮음,현재 방류 유지,높음,ml-v0.1
2008101,군위,36.12,128.65,90,96,2026-06-02 16:00:00,0.0,189.76,0.0,17.462,35.9,1.088,2026-06-02 16:00:00,2026-06-02 19:00:00,0.3763880015111057,1.08769693452381,낮음,현재 방류 유지,높음,ml-v0.1
2012101,보현산,36.14,128.93,94,97,2026-06-02 16:00:00,0.443,219.71,0.0,5.247,23.7,0.443,2026-06-02 16:00:00,2026-06-02 19:00:00,0.348681236422725,0.2969093452380952,낮음,현재 방류 유지,높음,ml-v0.1
2015110,합천,35.53,128.03,79,83,2026-06-02 16:00:00,5.895,160.93,0.0,415.044,52.5,41.867,2026-06-02 16:00:00,2026-06-02 19:00:00,11.55410521849146,29.69067431547618,보통,주의 관찰,높음,ml-v0.1
2018110,남강,35.16,128.04,79,75,2026-06-02 16:00:00,66.366,38.77,0.0,124.885,40.4,4.366,2026-06-02 16:00:00,2026-06-02 19:00:00,66.1476815158298,4.292618741883116,낮음,현재 방류 유지,높음,ml-v0.1
2021110,밀양,35.5,128.93,95,83,2026-06-02 16:00:00,0.0,185.03,0.0,32.196,43.8,2.917,2026-06-02 16:00:00,2026-06-02 19:00:00,6.557580660798534,2.893925649801587,낮음,현재 방류 유지,높음,ml-v0.1
3001110,용담,35.94,127.53,70,92,2026-06-02 16:00:00,11.667,250.17,0.0,389.247,47.8,27.917,2026-06-02 16:00:00,2026-06-02 19:00:00,8.68306500036073,26.372416577380957,낮음,현재 방류 유지,높음,ml-v0.1
3008110,대청,36.4775,127.48,69,103,2026-06-02 16:00:00,16.913,71.32,0.0,884.046,59.3,16.913,2026-06-02 16:00:00,2026-06-02 19:00:00,29.860346543882944,102.47759433035716,보통,주의 관찰,높음,ml-v0.1
3203110,보령,36.36,126.65,54,100,2026-06-02 16:00:00,0.0,63.65,0.0,41.651,35.6,4.055,2026-06-02 16:00:00,2026-06-02 19:00:00,1.1531013790786062,4.196437738095236,낮음,현재 방류 유지,높음,ml-v0.1
3303110,부안,35.69,126.62,54,86,2026-06-02 16:00:00,0.0,38.65,0.0,34.579,68.8,1.307,2026-06-02 16:00:00,2026-06-02 19:00:00,0.4426776804189979,1.3025557341269844,낮음,현재 방류 유지,높음,ml-v0.1
4001110,섬진강,35.54,127.14,63,83,2026-06-02 16:00:00,15.571,183.49,0.0,188.855,40.5,35.71,2026-06-02 16:00:00,2026-06-02 19:00:00,5.201021183886614,32.64785958333333,낮음,현재 방류 유지,높음,ml-v0.1
4007110,주암(본),35.07,127.24,65,72,2026-06-02 16:00:00,223.759,101.81,0.0,255.606,55.9,22.731,2026-06-02 16:00:00,2026-06-02 19:00:00,240.30705591899303,22.825185461309523,낮음,현재 방류 유지,높음,ml-v0.1
4104610,주암(조),35.06,127.31,66,72,2026-06-02 16:00:00,24.888,93.82,0.0,124.385,49.8,33.916,2026-06-02 16:00:00,2026-06-02 19:00:00,36.48756994818979,23.30243458333333,낮음,현재 방류 유지,높음,ml-v0.1
5101110,장흥,34.76,126.93,60,66,2026-06-02 16:00:00,64.677,72.59,0.0,101.955,53.4,4.955,2026-06-02 16:00:00,2026-06-02 19:00:00,71.72715795877642,4.921372708333334,낮음,현재 방류 유지,높음,ml-v0.1
