dam_name,dam_code,obsrdt,inflowqy,lowlevel,rf,rsvwtqy,rsvwtrt,totdcwtrqy
충주,1003110,2026-05-30 16:00:00,0.0,124.97,0.0,,40.3,320.624
충주,1003110,2026-05-30 17:00:00,99.954,124.95,0.0,,40.3,317.871
충주,1003110,2026-05-30 18:00:00,5.05,124.93,0.0,,40.2,321.467
충주,1003110,2026-05-30 19:00:00,98.411,124.92,0.0,,40.2,317.994
충주,1003110,2026-05-30 20:00:00,39.481,124.9,0.0,,40.2,300.092
충주,1003110,2026-05-30 21:00:00,102.401,124.91,0.0,,40.2,8.207
충주,1003110,2026-05-30 22:00:00,0.0,124.9,0.0,,40.2,0.43
충주,1003110,2026-05-30 23:00:00,158.013,124.92,0.0,,40.2,0.43
충주,1003110,2026-05-31 00:00:00,0.0,124.92,0.0,,40.2,0.43
충주,1003110,2026-05-31 01:00:00,78.763,124.92,0.0,,40.2,0.43
충주,1003110,2026-05-31 02:00:00,60.902,124.93,0.0,,40.2,0.43
충주,1003110,2026-05-31 03:00:00,23.624,124.93,0.0,,40.2,0.43
충주,1003110,2026-05-31 04:00:00,103.958,124.93,0.0,,40.2,0.43
충주,1003110,2026-05-31 05:00:00,9.152,124.94,0.0,,40.2,0.43
충주,1003110,2026-05-31 06:00:00,119.43,124.94,0.0,,40.3,0.43
충주,1003110,2026-05-31 07:00:00,0.0,124.94,0.0,,40.3,0.43
충주,1003110,2026-05-31 08:00:00,91.661,124.95,0.0,,40.3,2.078
충주,1003110,2026-05-31 09:00:00,0.0,124.92,0.0,,40.2,302.977
충주,1003110,2026-05-31 10:00:00,244.212,124.91,0.0,,40.2,286.295
충주,1003110,2026-05-31 11:00:00,0.0,124.89,0.0,,40.2,265.1
충주,1003110,2026-05-31 12:00:00,210.951,124.88,0.0,,40.2,250.757
충주,1003110,2026-05-31 13:00:00,0.0,124.86,0.0,,40.1,249.13
충주,1003110,2026-05-31 14:00:00,130.046,124.85,0.0,,40.1,254.907
충주,1003110,2026-05-31 15:00:00,0.0,124.83,0.0,,40.1,260.456
충주,1003110,2026-05-31 16:00:00,104.17,124.83,0.0,,40.0,137.976
충주,1003110,2026-05-31 17:00:00,5.425,124.82,0.0,,40.0,151.564
충주,1003110,2026-05-31 18:00:00,187.453,124.82,0.0,,40.0,107.064
충주,1003110,2026-05-31 19:00:00,0.0,124.82,0.0,,40.0,0.43
충주,1003110,2026-05-31 20:00:00,58.263,124.83,0.0,,40.0,0.43
충주,1003110,2026-05-31 21:00:00,80.986,124.83,0.0,,40.1,0.43
충주,1003110,2026-05-31 22:00:00,9.069,124.83,0.0,,40.1,0.43
충주,1003110,2026-05-31 23:00:00,94.486,124.84,0.0,,40.1,0.43
충주,1003110,2026-06-01 00:00:00,0.0,124.84,0.0,,40.1,0.43
충주,1003110,2026-06-01 01:00:00,158.152,124.85,0.0,,40.1,0.43
충주,1003110,2026-06-01 02:00:00,0.0,124.85,0.0,,40.1,0.43
충주,1003110,2026-06-01 03:00:00,114.819,124.86,0.0,,40.1,0.43
충주,1003110,2026-06-01 04:00:00,0.0,124.85,0.0,,40.1,0.43
충주,1003110,2026-06-01 05:00:00,79.569,124.86,0.0,,40.1,0.43
충주,1003110,2026-06-01 06:00:00,38.597,124.86,0.0,,40.1,0.43
충주,1003110,2026-06-01 07:00:00,37.624,124.87,0.0,,40.1,0.43
충주,1003110,2026-06-01 08:00:00,28.199,124.87,0.0,,40.1,2.143
충주,1003110,2026-06-01 09:00:00,62.776,124.86,0.0,,40.1,245.276
충주,1003110,2026-06-01 10:00:00,15.489,124.84,0.0,,40.1,255.85
충주,1003110,2026-06-01 11:00:00,0.0,124.82,0.0,,40.0,276.111
충주,1003110,2026-06-01 12:00:00,59.506,124.8,0.0,,40.0,292.339
