댐이름,최고_F1,평균_F1,최고_개선율,평균_개선율,최소_MAE,평균_MAE,평가건수,등급,해석
주암(조),0.8572338055069234,0.7879661128454212,55.84212549988749,44.20254366787503,4.137302790105738,4.254331280179563,8556,높음,관심구간에서 변화 탐지와 기준선 대비 개선이 모두 뚜렷함
안동,0.8559017375674056,0.8431309428328445,50.784311044499006,47.07712970140778,17.989931675648045,18.612512430328852,10886,높음,관심구간에서 변화 탐지와 기준선 대비 개선이 모두 뚜렷함
합천,0.8353434714210802,0.8214078007903834,54.24029330763375,50.76172917228239,8.2806819220721,8.491518787258924,7628,높음,관심구간에서 변화 탐지와 기준선 대비 개선이 모두 뚜렷함
남강,0.765752409191994,0.7061638758288737,17.888241570099314,7.512513274865145,9.668582613663409,11.902981293376374,7357,높음,관심구간에서 변화 탐지와 기준선 대비 개선이 모두 뚜렷함
임하,0.7413993042133745,0.7093663187733539,35.60793806460212,20.96981401993007,9.039014025253714,9.779980556878769,8380,높음,관심구간에서 변화 탐지와 기준선 대비 개선이 모두 뚜렷함
대청,0.7582626752033224,0.7146201166050845,9.93515703077296,-0.30659354062743827,39.349105363744165,40.5984915398824,10678,중간,활용 가능성은 있으나 댐별 오차와 변화 이벤트 수 확인 필요
충주,0.6781914893617021,0.6693412287012308,41.01965679435329,39.59690823549119,15.071245723792218,15.083345636169224,23583,중간,활용 가능성은 있으나 댐별 오차와 변화 이벤트 수 확인 필요
소양강,0.6715506715506715,0.6657669815564552,34.46548678245443,33.5782872365434,9.26390373317873,9.394071464750446,23583,중간,활용 가능성은 있으나 댐별 오차와 변화 이벤트 수 확인 필요
장흥,0.4935064935064935,0.449284892322867,-22.157482457280857,-32.80576259337937,0.3464334125879093,0.5239375353822597,10978,별로,관심구간 전용 변화량 모델에서도 활용 근거가 약함
부안,0.4166666666666667,0.20833333333333334,0.7673125946002234,0.3836562973001117,0.1043913240972064,0.14052943160199816,8806,별로,관심구간 전용 변화량 모델에서도 활용 근거가 약함
섬진강,0.3638368246968026,0.34509832866639295,-20.56573322429518,-36.87905731252448,1.894402755863221,2.2906231574435685,8894,별로,관심구간 전용 변화량 모델에서도 활용 근거가 약함
용담,0.3344709897610921,0.317494562238059,-54.805795378654565,-60.59181321833741,1.5165850010515465,1.7778199558674657,8796,별로,관심구간 전용 변화량 모델에서도 활용 근거가 약함
횡성,0.1726618705035971,0.1508470642840566,-56.67650892003767,-108.0770231535437,0.8883004578968321,0.904141736242323,8832,별로,관심구간 전용 변화량 모델에서도 활용 근거가 약함
주암(본),0.0836120401337792,0.0480953282429902,0.7916501415881232,-38.105304990856645,2.8852719548129384,4.52040457214132,8894,별로,관심구간 전용 변화량 모델에서도 활용 근거가 약함
영주,0.0157170923379174,0.0078585461689587,-24.70002459106829,-155.15363661633145,0.1676393618259058,0.5184752790567142,8468,별로,관심구간 전용 변화량 모델에서도 활용 근거가 약함
군위,0.0,0.0,0.0013489817465075,0.00067449087325375,0.0188056355934939,0.0249584126141792,8490,별로,관심구간 전용 변화량 모델에서도 활용 근거가 약함
밀양,0.0,0.0,0.0,0.0,0.120928476821192,0.167888476821192,7550,별로,관심구간 전용 변화량 모델에서도 활용 근거가 약함
보령,0.0,0.0,0.0,-2.1569665620476677,0.3019052681313489,0.3786761354753417,8466,별로,관심구간 전용 변화량 모델에서도 활용 근거가 약함
보현산,0.0,0.0,0.0,-0.30334852968613046,0.0022106651592236,0.0027101676916451503,10614,별로,관심구간 전용 변화량 모델에서도 활용 근거가 약함
성덕,0.0,0.0,0.0,0.0,0.0046683389830508,0.00591396610169485,14750,별로,관심구간 전용 변화량 모델에서도 활용 근거가 약함
