dam_code,dam_name,latitude,longitude,grid_x,grid_y
1012110,소양강,37.9450000,127.8150000,74,135
1003110,충주,37.0050000,127.9850000,77,115
1006110,횡성,37.5400000,128.0500000,78,126
2001110,안동,36.5840000,128.7700000,91,106
2002110,임하,36.5400000,128.8800000,93,105
2002111,성덕,36.3000000,129.0000000,96,100
2004101,영주,36.8000000,128.6800000,90,111
2008101,군위,36.1200000,128.6500000,90,96
2012101,보현산,36.1400000,128.9300000,94,97
2015110,합천,35.5300000,128.0300000,79,83
2018110,남강,35.1600000,128.0400000,79,75
2021110,밀양,35.5000000,128.9300000,95,83
3001110,용담,35.9400000,127.5300000,70,92
3008110,대청,36.4775000,127.4800000,69,103
4001110,섬진강,35.5400000,127.1400000,63,83
4007110,주암(본),35.0700000,127.2400000,65,72
4104610,주암(조),35.0600000,127.3100000,66,72
3303110,부안,35.6900000,126.6200000,54,86
3203110,보령,36.3600000,126.6500000,54,100
5101110,장흥,34.7600000,126.9300000,60,66
