dam_code,dam_name,latitude,longitude,grid_x,grid_y,obsrdt,inflowqy,lowlevel,rf,rsvwtqy,rsvwtrt,totdcwtrqy,tmp,rain,snow,inflow_lag_1h,rain_lag_1h,discharge_lag_1h,inflow_lag_3h,rain_lag_3h,discharge_lag_3h,inflow_lag_6h,rain_lag_6h,discharge_lag_6h,inflow_lag_12h,rain_lag_12h,discharge_lag_12h,inflow_mean_3h,discharge_mean_3h,inflow_mean_6h,discharge_mean_6h,inflow_mean_12h,discharge_mean_12h,inflow_mean_24h,discharge_mean_24h,rain_sum_3h,rain_sum_6h,rain_sum_12h,rain_sum_24h,rain_sum_48h,rain_sum_72h,discharge_change_lag_1h,discharge_change_lag_3h,forecast_start,forecast_end,forecast_rain_sum,forecast_tmp_latest,forecast_rain_level,data_ready,dashboard_status
1003110,충주,37.005,127.985,77,115,2026-06-04 15:00:00,36.208,124.59,0.0,,39.6,0.43,0,0.0,0,52.152,0.0,0.43,257.011,0.0,333.511,0.0,0.0,315.868,86.819,0.0,0.43,29.453333333333333,0.43,83.427,171.1485,55.348333333333336,112.13558333333333,54.08625,79.42308333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-333.081,2026-06-04 15:00:00,2026-06-04 20:00:00,14.0,22.0,높음,True,예측준비완료
1006110,횡성,37.54,128.05,78,126,2026-06-04 15:00:00,0.0,172.2,0.0,47.19,54.3,4.239,0,0.0,0,4.237,0.0,4.237,0.0,0.0,4.22,0.0,0.0,1.573,1.528,0.0,1.528,2.0553333333333335,4.236999999999999,1.9958333333333336,3.7899999999999996,1.5217500000000002,2.684416666666667,1.4873333333333332,2.134375,0.0,0.0,0.0,0.0,0.5,0.5,0.0019999999999997797,0.019000000000000128,2026-06-04 15:00:00,2026-06-04 20:00:00,13.0,22.0,높음,True,예측준비완료
1012110,소양강,37.945,127.815,74,135,2026-06-04 15:00:00,53.044,177.62,0.0,,54.3,0.6,0,0.0,0,4.433,0.2,0.6,0.0,0.0,70.777,0.0,0.0,100.269,8.742,0.0,95.825,19.158999999999995,0.6,10.547166666666667,35.776,9.472583333333333,66.14566666666667,16.500208333333333,75.94983333333333,0.2,0.2,0.2,0.2,0.2,0.2,0.0,-70.177,2026-06-04 15:00:00,2026-06-04 20:00:00,6.0,20.0,높음,True,예측준비완료
2001110,안동,36.584,128.77,91,106,2026-06-04 15:00:00,75.583,143.4,0.0,507.861,40.7,0.0,0,0.0,0,6.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.344,0.0,95.344,27.388666666666666,0.0,13.694333333333333,0.0,15.421999999999999,30.938000000000002,18.233999999999998,27.020666666666667,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,2026-06-04 15:00:00,2026-06-04 20:00:00,0.0,23.0,없음,True,예측준비완료
2002110,임하,36.54,128.88,93,105,2026-06-04 15:00:00,4.488,149.06,0.0,270.201,45.4,4.488,0,0.0,0,0.0,0.0,4.833,3.086,0.0,4.836,0.0,0.0,4.842,7.476,0.0,4.837,4.136333333333334,4.719666666666666,3.9725,4.778000000000001,4.402666666666667,4.809916666666667,4.989375,13.803125,0.0,0.0,0.0,0.0,0.0,0.0,-0.34499999999999975,-0.34799999999999986,2026-06-04 15:00:00,2026-06-04 20:00:00,0.0,23.0,없음,True,예측준비완료
2002111,성덕,36.3,129.0,96,100,2026-06-04 15:00:00,0.864,348.66,0.0,10.248,36.7,0.864,0,0.0,0,0.0,0.0,0.864,0.863,0.0,0.863,0.0,0.0,0.863,0.0,0.0,0.863,0.5756666666666667,0.8636666666666667,0.5755,0.8633333333333333,0.5754166666666667,0.8631666666666665,0.5303333333333333,0.8632916666666667,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0010000000000000009,2026-06-04 15:00:00,2026-06-04 20:00:00,0.0,19.0,없음,True,예측준비완료
2004101,영주,36.8,128.68,90,111,2026-06-04 15:00:00,1.2,143.04,0.0,39.263,21.7,1.561,0,0.0,0,0.867,0.0,1.561,1.56,0.0,1.56,1.559,0.0,1.559,1.558,0.0,1.558,1.4403333333333332,1.5606666666666669,0.9801666666666667,1.5599999999999998,1.2690833333333333,1.559,1.5970416666666667,1.5594166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009999999999998899,2026-06-04 15:00:00,2026-06-04 20:00:00,0.0,23.0,없음,True,예측준비완료
2008101,군위,36.12,128.65,90,96,2026-06-04 15:00:00,0.0,189.65,0.0,17.29,35.5,1.083,0,0.0,0,0.224,0.0,1.085,0.0,0.0,1.082,0.859,0.0,1.081,0.194,0.0,1.083,0.07466666666666659,1.0839999999999999,0.1065,1.0826666666666667,0.14316666666666666,1.0819166666666666,0.24158333333333334,1.0824583333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020000000000000018,0.0009999999999998899,2026-06-04 15:00:00,2026-06-04 20:00:00,0.0,21.0,없음,True,예측준비완료
2012101,보현산,36.14,128.93,94,97,2026-06-04 15:00:00,0.0,219.58,0.0,5.177,23.4,0.443,0,0.0,0,0.443,0.0,0.443,0.442,0.0,0.442,0.276,0.0,0.443,0.442,0.0,0.442,0.2953333333333334,0.443,0.29516666666666663,0.44283333333333336,0.2811666666666666,0.4426666666666667,0.30633333333333335,0.4423333333333333,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0010000000000000009,2026-06-04 15:00:00,2026-06-04 20:00:00,0.0,19.0,없음,True,예측준비완료
2015110,합천,35.53,128.03,79,83,2026-06-04 15:00:00,14.495,160.69,0.0,410.934,52.0,43.273,0,0.0,0,2.778,0.0,0.0,0.0,0.0,0.0,3.953,0.0,48.536,5.98,0.0,42.258,7.303999999999999,14.424333333333335,5.2195,7.307500000000001,4.684,28.245000000000005,4.675958333333334,30.51033333333333,0.0,0.0,0.0,0.0,0.0,5.3,43.273,43.273,2026-06-04 15:00:00,2026-06-04 20:00:00,0.0,21.0,없음,True,예측준비완료
