dam_code,dam_name,obsrdt,latitude,longitude,current_inflow,current_discharge,predicted_inflow_3h,predicted_discharge_3h,discharge_change_probability,discharge_change_level,release_review,confidence_level,marker_color,model_version,missing_features
4104610,주암(조),2026-06-04 15:00:00,35.06,127.31,14.389,0.0,15.936319327812178,12.136573541666667,0.7984184364528827,높음,방류 조정 검토,높음,빨강,ml-v0.1,
3008110,대청,2026-06-04 15:00:00,36.4775,127.48,0.0,17.061,53.40931353168599,110.12358758928569,0.717130213847462,높음,방류 조정 검토,높음,빨강,ml-v0.1,
2015110,합천,2026-06-04 15:00:00,35.53,128.03,14.495,43.273,5.117607730368926,37.289601309523796,0.6701395824124882,보통,주의 관찰,높음,주황,ml-v0.1,
2002110,임하,2026-06-04 15:00:00,36.54,128.88,4.488,4.488,5.004882019078973,5.472992847222221,0.34331012677482586,낮음,주의 관찰,높음,노랑,ml-v0.1,
2001110,안동,2026-06-04 15:00:00,36.584,128.77,75.583,0.0,18.78446577262489,15.650193541666663,0.23866322716696464,낮음,현재 방류 유지,높음,초록,ml-v0.1,
3001110,용담,2026-06-04 15:00:00,35.94,127.53,6.662,27.773,11.731380952320926,27.437781398809527,0.1101256354654773,낮음,현재 방류 유지,높음,초록,ml-v0.1,
4001110,섬진강,2026-06-04 15:00:00,35.54,127.14,0.0,35.751,4.125537358015405,34.9735109623016,0.0895151276288096,낮음,현재 방류 유지,높음,초록,ml-v0.1,
2002111,성덕,2026-06-04 15:00:00,36.3,129.0,0.864,0.864,0.4885034324432746,0.7633552083333334,0.02496933775447237,낮음,현재 방류 유지,높음,초록,ml-v0.1,
4007110,주암(본),2026-06-04 15:00:00,35.07,127.24,12.438,22.716,17.861688392957102,22.849262514880962,0.016405156791227952,낮음,현재 방류 유지,높음,초록,ml-v0.1,
1006110,횡성,2026-06-04 15:00:00,37.54,128.05,0.0,4.239,1.644895824879314,4.060389910714286,0.0,낮음,현재 방류 유지,높음,초록,ml-v0.1,
3203110,보령,2026-06-04 15:00:00,36.36,126.65,1.321,4.404,1.1531013790786062,4.182440843253969,0.0,낮음,현재 방류 유지,높음,초록,ml-v0.1,
3303110,부안,2026-06-04 15:00:00,35.69,126.62,0.0,1.39,0.42810749727732944,1.3598305357142855,0.0,낮음,현재 방류 유지,높음,초록,ml-v0.1,
2021110,밀양,2026-06-04 15:00:00,35.5,128.93,0.0,3.035,1.2601307471243677,2.7679110317460323,0.0,낮음,현재 방류 유지,높음,초록,ml-v0.1,
2018110,남강,2026-06-04 15:00:00,35.16,128.04,25.42,4.614,25.132348359022593,4.449437648809523,0.0,낮음,현재 방류 유지,높음,초록,ml-v0.1,
2012101,보현산,2026-06-04 15:00:00,36.14,128.93,0.0,0.443,0.348681236422725,0.29839476190476194,0.0,낮음,현재 방류 유지,높음,초록,ml-v0.1,
2008101,군위,2026-06-04 15:00:00,36.12,128.65,0.0,1.083,0.325545707963908,1.082047232142857,0.0,낮음,현재 방류 유지,높음,초록,ml-v0.1,
2004101,영주,2026-06-04 15:00:00,36.8,128.68,1.2,1.561,2.345898745714611,3.4019712996031743,0.0,낮음,현재 방류 유지,높음,초록,ml-v0.1,
5101110,장흥,2026-06-04 15:00:00,34.76,126.93,5.214,5.214,6.098860639222485,5.049079206349208,0.0,낮음,현재 방류 유지,높음,초록,ml-v0.1,
1003110,충주,2026-06-04 15:00:00,37.005,127.985,36.208,0.43,,,,보류,예측 보류,보류,회색,ml-v0.1,rsvwtqy
1012110,소양강,2026-06-04 15:00:00,37.945,127.815,53.044,0.6,,,,보류,예측 보류,보류,회색,ml-v0.1,rsvwtqy
