dam_code,dam_name,obsrdt,latitude,longitude,current_inflow,current_discharge,rsvwtrt,rain_sum_24h,rain_sum_72h,forecast_rain_sum,risk_score,discharge_change_level,release_review,confidence_level,marker_color,reason
3203110,보령,2026-05-19 17:00:00,36.36,126.65,1.128,4.045,33.3,0.0,0.0,0.0,3,낮음,관찰,낮음,노랑,현재 유입량이 24시간 평균보다 큼
2002110,임하,2026-05-19 17:00:00,36.54,128.88,24.998,4.442,43.6,0.0,0.0,0.0,3,낮음,관찰,높음,노랑,현재 유입량이 24시간 평균보다 큼
2008101,군위,2026-05-19 17:00:00,36.12,128.65,0.399,0.399,35.4,0.0,0.0,0.0,3,보류,데이터/모델 보류,보류,회색,현재 유입량이 24시간 평균보다 큼
1012110,소양강,2026-05-19 17:00:00,37.945,127.815,80.694,1.0,55.9,0.0,0.0,0.0,3,낮음,관찰,보통,노랑,현재 유입량이 24시간 평균보다 큼
3001110,용담,2026-05-19 17:00:00,35.94,127.53,19.632,27.938,49.4,0.0,0.0,0.0,3,낮음,관찰,보통,노랑,현재 유입량이 24시간 평균보다 큼
4007110,주암(본),2026-05-19 17:00:00,35.07,127.24,18.766,17.155,57.2,0.0,0.0,0.0,3,낮음,관찰,보통,노랑,현재 유입량이 24시간 평균보다 큼
2012101,보현산,2026-05-19 17:00:00,36.14,128.93,0.456,0.456,24.8,0.0,0.0,0.0,2,보류,데이터/모델 보류,보류,회색,현재 유입량 증가 경향
2015110,합천,2026-05-19 17:00:00,35.53,128.03,0.967,51.217,53.8,0.0,0.0,0.0,1,낮음,불필요,높음,초록,현재 방류량이 최근 평균보다 큼
1006110,횡성,2026-05-19 17:00:00,37.54,128.05,1.498,1.498,55.5,0.0,0.0,0.0,0,낮음,불필요,낮음,초록,특이사항 없음
2004101,영주,2026-05-19 17:00:00,36.8,128.68,1.362,1.362,18.9,0.0,0.0,0.0,0,낮음,불필요,낮음,초록,특이사항 없음
2021110,밀양,2026-05-19 17:00:00,35.5,128.93,0.62,2.564,45.6,0.0,0.0,0.0,0,낮음,불필요,낮음,초록,특이사항 없음
3303110,부안,2026-05-19 17:00:00,35.69,126.62,0.222,1.528,69.2,0.0,0.0,0.0,0,낮음,불필요,낮음,초록,특이사항 없음
5101110,장흥,2026-05-19 17:00:00,34.76,126.93,0.0,4.921,52.8,0.0,0.0,0.0,0,낮음,불필요,낮음,초록,특이사항 없음
2001110,안동,2026-05-19 17:00:00,36.584,128.77,0.0,0.0,40.7,0.0,0.0,0.0,0,낮음,불필요,높음,초록,특이사항 없음
2018110,남강,2026-05-19 17:00:00,35.16,128.04,0.0,4.449,36.8,0.0,0.0,0.0,0,낮음,불필요,높음,초록,특이사항 없음
3008110,대청,2026-05-19 17:00:00,36.4775,127.48,21.277,33.444,59.2,0.0,0.0,0.0,0,낮음,불필요,높음,초록,특이사항 없음
4104610,주암(조),2026-05-19 17:00:00,35.06,127.31,12.888,33.138,57.8,0.0,0.0,0.0,0,낮음,불필요,높음,초록,특이사항 없음
2002111,성덕,2026-05-19 17:00:00,36.3,129.0,0.0,0.882,39.2,0.0,0.0,0.0,0,보류,데이터/모델 보류,보류,회색,특이사항 없음
1003110,충주,2026-05-19 17:00:00,37.005,127.985,0.0,0.43,38.7,0.0,0.0,0.0,0,낮음,불필요,보통,초록,특이사항 없음
4001110,섬진강,2026-05-19 17:00:00,35.54,127.14,0.0,35.676,47.4,0.0,0.0,0.0,0,낮음,불필요,보통,초록,특이사항 없음
